7.7623 	DEBUG 	Fullscreen settings ignored as running in pilot mode.
7.7635 	INFO 	Loaded monitor calibration from ['2023_09_17 13:39']
7.9243 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x15528f010>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x15528f070>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=False, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x15526b100>, multiSample=False, name='window1', numSamples=2, pos=[880.0, 420.0], screen=0, size=array([1600, 1200]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
7.9244 	EXP 	window1: backgroundImage = ''
7.9244 	EXP 	window1: backgroundFit = 'none'
7.9360 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.9365 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.9370 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.9376 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.9382 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.9385 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.9390 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.9397 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.9398 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.9400 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.9405 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.9409 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.9413 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.9418 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.9422 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.9427 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.9432 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.9434 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.9437 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.9443 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.9445 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.9447 	DEBUG 	Uploading Texture Font fontname to graphics card
7.9479 	DEBUG 	Upload of Texture Font fontname complete
7.9524 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.9531 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
